sampleId,lat,long,continent,country,nPools,nFlies,nToUse,Date,SRA_Accession,SOURCE,DataType,TimeRange
MA_Tan_Lar_1_2021-09-06,35.146733889239,-6.14977144602926,Africa,Morocco,1,40,1,2021-09-06,,DrosEU_3,PoolSeq,0
NG_Bor_Mai_1_2004-09-16,11.85,13.16,Africa,Nigeria,1,6,1,2004-09-16,,dgn,PoolSeq,0
NL_Utr_Hou_1_1998-07-01,52.02,5.1,Europe,Netherlands,1,19,1,1998-07-01,,dgn,PoolSeq,0
PA_Pan_Pan_1_2012-01-16,8.9844,-79.5178,North_America,Panama,1,50,1,2012-01-16,SRR3053560,dest_plus,PoolSeq,0
PL_Lub_Lub_1_2019-09-10,51.2315,22.524833,Europe,Poland,1,40,1,2019-09-10,,DrosEU_3,PoolSeq,0
PL_Pom_Gda_1_2016-08-01,54.35,18.64,Europe,Poland,1,40,1,2016-08-01,SRR8494455,DrosEU,PoolSeq,0
RS_Kol_Sla_1_2021-09-14,44.15,20.18,Europe,Serbia,1,38,1,2021-09-14,,DrosEU_3,PoolSeq,0
RS_Kol_Sla_1_2021-MM-DD,44.104161,19.981698,Europe,Serbia,1,40,1,2021-MM-DD,,DrosEU_3,PoolSeq,Absent
RS_Mac_Zaj_1_2020-09-13,44.4455,19.2512,Europe,Serbia,1,40,1,2020-09-13,,DrosEU_3,PoolSeq,0
RS_Pod_Sta_1_2019-09-19,44.59,20.9,Europe,Serbia,1,40,1,2019-09-19,,DrosEU_3,PoolSeq,0
RU_Tul_Tul_1_2015-09-20,53.99778,38.13167,Europe,Russia,1,40,1,2015-09-20,SRR8439159,DrosEU,PoolSeq,0
RW_Wes_Gik_1_2008-12-16,-2.49,28.92,Africa,Rwanda,1,27,1,2008-12-16,,dgn,PoolSeq,0
UA_Che_Kan_1_2016-07-08,49.72,31.53,Europe,Ukraine,1,40,1,2016-07-08,SRR8494448,DrosEU,PoolSeq,0
UA_Che_Pyr_1_2016-08-23,50.53752,32.51880556,Europe,Ukraine,1,40,1,2016-08-23,SRR8494424,DrosEU,PoolSeq,0
UA_Don_Roz_1_2021-08-12,48.690794,37.005189,Europe,Ukraine,1,40,1,2021-08-12,,DrosEU_3,PoolSeq,0
UA_Kie_Kho_1_2021-08-09,50.58886,30.57138,Europe,Ukraine,1,40,1,2021-08-09,,DrosEU_3,PoolSeq,0
UA_Myk_Ryb_1_2021-07-22,46.616779,31.355456,Europe,Ukraine,1,40,1,2021-07-22,,DrosEU_3,PoolSeq,0
UA_Vol_Lut_1_2019-08-28,50.747778,25.324444,Europe,Ukraine,1,40,1,2019-08-28,,DrosEU_3,PoolSeq,0
UA_Zap_Zap_1_2019-06-17,47.803529,35.202091,Europe,Ukraine,1,36,1,2019-06-17,,DrosEU_3,PoolSeq,0
UG_Kis_Kis_1_2012-01-16,-1.28,29.69,Africa,Uganda,1,5,1,2012-01-16,,dgn,PoolSeq,0
US_Cal_Win_1_1998-07-02,38.53,-121.97,North_America,United States,1,35,1,1998-07-02,,dgn,PoolSeq,0
US_Geo_Hah_1_2008-07-16,30.99,-83.37,North_America,USA,1,51,1,2008-07-16,SRR1525695,DrosRTEC,PoolSeq,0
US_Ill_Urb_1_2015-07-11,40.11,-88.21,North_America,USA,1,184,1,2015-07-11,SRR3939094,DrosRTEC,PoolSeq,0
US_Kan_Top_1_2014-06-22,39.0913433,-95.6246509,North_America,USA,1,72,1,2014-06-22,SRR3939086,DrosRTEC,PoolSeq,0
US_Kan_Top_1_2014-10-22,39.202831,-95.741527,North_America,USA,1,48,1,2014-10-22,SRR3939085,DrosRTEC,PoolSeq,0
US_Sou_Eut_1_2010-07-15,33.39,-80.34,North_America,USA,1,48,1,2010-07-15,SRR1525696,DrosRTEC,PoolSeq,0
